Sample,Treatment,Replicate,Day,Rep_1,Rep_2,Rep_3,Average,Rercent_1,Percent_2,Percent_3
pH6_1A,pH6,A,1,175.72,181.72,181.72,179.72,66.12976065,68.38777661,68.38777661
pH6_1B,pH6,B,1,177.72,175.72,171.72,175.0533333,66.88243264,66.12976065,64.62441668
pH6_1C,pH6,C,1,163.72,165.72,177.72,169.0533333,61.61372874,62.36640072,66.88243264
pH6_1D,pH6,D,1,173.72,177.72,173.72,175.0533333,65.37708866,66.88243264,65.37708866
pH6_1E,pH6,E,1,183.72,179.72,179.72,181.0533333,69.14044859,67.63510462,67.63510462
pH6_1F,pH6,F,1,221.72,221.72,231.72,225.0533333,83.44121632,83.44121632,87.20457625
MES_1A,MES,A,1,395.72,391.72,391.72,393.0533333,85.70562246,84.83929654,84.83929654
MES_1B,MES,B,1,385.72,387.72,387.72,387.0533333,83.53980768,83.97297063,83.97297063
MES_1C,MES,C,1,379.72,387.72,381.72,383.0533333,82.24031881,83.97297063,82.67348176
MES_1D,MES,D,1,389.72,387.72,387.72,388.3866667,84.40613359,83.97297063,83.97297063
MES_1E,MES,E,1,379.72,381.72,387.72,383.0533333,82.24031881,82.67348176,83.97297063
MES_1F,MES,F,1,349.72,355.72,361.72,355.72,75.74287447,77.04236334,78.3418522
G05_1A,G05,A,1,231.72,239.72,239.72,237.0533333,75.96048778,78.58298003,78.58298003
G05_1B,G05,B,1,237.72,229.72,237.72,235.0533333,77.92735696,75.30486472,77.92735696
G05_1C,G05,C,1,265.72,261.72,267.72,265.0533333,87.10607981,85.79483369,87.76170287
G05_1D,G05,D,1,239.72,233.72,233.72,235.72,78.58298003,76.61611084,76.61611084
G05_1E,G05,E,1,203.72,201.72,205.72,203.72,66.78176494,66.12614188,67.437388
G05_1F,G05,F,1,179.72,181.72,173.72,178.3866667,58.91428821,59.56991127,56.94741903
G10_1A,G10,A,1,299.72,293.72,299.72,297.72,85.21551234,83.50960992,85.21551234
G10_1B,G10,B,1,279.72,279.72,275.72,278.3866667,79.52917093,79.52917093,78.39190265
G10_1C,G10,C,1,299.72,301.72,297.72,299.72,85.21551234,85.78414648,84.6468782
G10_1D,G10,D,1,299.72,299.72,291.72,297.0533333,85.21551234,85.21551234,82.94097578
G10_1E,G10,E,1,247.72,259.72,249.72,252.3866667,70.43102468,73.84282952,70.99965882
G10_1F,G10,F,1,265.72,265.72,263.72,265.0533333,75.54873195,75.54873195,74.98009781
pH8_1A,pH8,A,1,93.72,93.72,91.72,93.05333333,34.40697048,34.40697048,33.67272015
pH8_1B,pH8,B,1,111.72,113.72,113.72,113.0533333,41.01522346,41.74947379,41.74947379
pH8_1C,pH8,C,1,141.72,137.72,133.72,137.72,52.02897841,50.56047775,49.09197709
pH8_1D,pH8,D,1,181.72,173.72,183.72,179.72,66.71398502,63.7769837,67.44823535
pH8_1E,pH8,E,1,193.72,197.72,193.72,195.0533333,71.119487,72.58798766,71.119487
