"variable","Sample","Treatment","Day","Replicate","Dataset","Size_GB"
"G05_1_A_mg","G05_1_A","G05","1","A","mg",38
"G05_1_A_mt","G05_1_A","G05","1","A","mt",16.2
"G05_1_B_mg","G05_1_B","G05","1","B","mg",44
"G05_1_B_mt","G05_1_B","G05","1","B","mt",18.6
"G05_1_C_mg","G05_1_C","G05","1","C","mg",46
"G05_1_C_mt","G05_1_C","G05","1","C","mt",19
"G05_1_D_mg","G05_1_D","G05","1","D","mg",48
"G05_1_D_mt","G05_1_D","G05","1","D","mt",28
"G05_1_E_mg","G05_1_E","G05","1","E","mg",48
"G05_1_E_mt","G05_1_E","G05","1","E","mt",22
"G05_1_F_mg","G05_1_F","G05","1","F","mg",38
"G05_1_F_mt","G05_1_F","G05","1","F","mt",19.2
"G05_2_A_mg","G05_2_A","G05","2","A","mg",56
"G05_2_A_mt","G05_2_A","G05","2","A","mt",40
"G05_2_B_mg","G05_2_B","G05","2","B","mg",50
"G05_2_B_mt","G05_2_B","G05","2","B","mt",38
"G05_2_C_mg","G05_2_C","G05","2","C","mg",50
"G05_2_C_mt","G05_2_C","G05","2","C","mt",50
"G05_2_D_mt","G05_2_D","G05","2","D","mt",44
"G05_2_E_mg","G05_2_E","G05","2","E","mg",34
"G05_2_E_mt","G05_2_E","G05","2","E","mt",28
"G05_2_F_mg","G05_2_F","G05","2","F","mg",38
"G05_2_F_mt","G05_2_F","G05","2","F","mt",36
"G05_3_A_mg","G05_3_A","G05","3","A","mg",62
"G05_3_A_mt","G05_3_A","G05","3","A","mt",40
"G05_3_B_mg","G05_3_B","G05","3","B","mg",38
"G05_3_B_mt","G05_3_B","G05","3","B","mt",38
"G05_3_C_mg","G05_3_C","G05","3","C","mg",46
"G05_3_C_mt","G05_3_C","G05","3","C","mt",38
"G05_3_D_mg","G05_3_D","G05","3","D","mg",36
"G05_3_D_mt","G05_3_D","G05","3","D","mt",28
"G05_3_E_mg","G05_3_E","G05","3","E","mg",38
"G05_3_E_mt","G05_3_E","G05","3","E","mt",38
"G05_3_F_mg","G05_3_F","G05","3","F","mg",42
"G05_3_F_mt","G05_3_F","G05","3","F","mt",32
"G05_4_A_mg","G05_4_A","G05","4","A","mg",40
"G05_4_B_mg","G05_4_B","G05","4","B","mg",56
"G05_4_B_mt","G05_4_B","G05","4","B","mt",17.4
"G05_4_C_mt","G05_4_C","G05","4","C","mt",18.2
"G05_4_D_mg","G05_4_D","G05","4","D","mg",32
"G05_4_D_mt","G05_4_D","G05","4","D","mt",30
"G05_4_E_mg","G05_4_E","G05","4","E","mg",36
"G05_4_E_mt","G05_4_E","G05","4","E","mt",22
"G05_4_F_mg","G05_4_F","G05","4","F","mg",40
"G05_4_F_mt","G05_4_F","G05","4","F","mt",32
"G05_5_A_mg","G05_5_A","G05","5","A","mg",52
"G05_5_A_mt","G05_5_A","G05","5","A","mt",20
"G05_5_B_mg","G05_5_B","G05","5","B","mg",44
"G05_5_B_mt","G05_5_B","G05","5","B","mt",22
"G05_5_C_mg","G05_5_C","G05","5","C","mg",38
"G05_5_C_mt","G05_5_C","G05","5","C","mt",30
"G05_5_D_mg","G05_5_D","G05","5","D","mg",50
"G05_5_D_mt","G05_5_D","G05","5","D","mt",28
"G05_5_E_mg","G05_5_E","G05","5","E","mg",42
"G05_5_E_mt","G05_5_E","G05","5","E","mt",19.2
"G05_5_F_mg","G05_5_F","G05","5","F","mg",48
"G05_5_F_mt","G05_5_F","G05","5","F","mt",28
"G05_6_A_mg","G05_6_A","G05","6","A","mg",56
"G05_6_A_mt","G05_6_A","G05","6","A","mt",12.4
"G05_6_B_mg","G05_6_B","G05","6","B","mg",46
"G05_6_B_mt","G05_6_B","G05","6","B","mt",11.8
"G05_6_C_mg","G05_6_C","G05","6","C","mg",42
"G05_6_C_mt","G05_6_C","G05","6","C","mt",16.2
"G05_6_D_mg","G05_6_D","G05","6","D","mg",58
"G05_6_D_mt","G05_6_D","G05","6","D","mt",32
"G05_6_E_mg","G05_6_E","G05","6","E","mg",46
"G05_6_E_mt","G05_6_E","G05","6","E","mt",24
"G05_6_F_mg","G05_6_F","G05","6","F","mg",56
"G05_6_F_mt","G05_6_F","G05","6","F","mt",22
"G05_7_A_mg","G05_7_A","G05","7","A","mg",36
"G05_7_A_mt","G05_7_A","G05","7","A","mt",3
"G05_7_B_mg","G05_7_B","G05","7","B","mg",34
"G05_7_B_mt","G05_7_B","G05","7","B","mt",2.4
"G05_7_C_mg","G05_7_C","G05","7","C","mg",46
"G05_7_C_mt","G05_7_C","G05","7","C","mt",22
"G10_1_A_mg","G10_1_A","G10","1","A","mg",36
"G10_1_A_mt","G10_1_A","G10","1","A","mt",12.6
"G10_1_B_mg","G10_1_B","G10","1","B","mg",44
"G10_1_B_mt","G10_1_B","G10","1","B","mt",38
"G10_1_C_mg","G10_1_C","G10","1","C","mg",50
"G10_1_C_mt","G10_1_C","G10","1","C","mt",19.2
"G10_1_D_mg","G10_1_D","G10","1","D","mg",44
"G10_1_D_mt","G10_1_D","G10","1","D","mt",52
"G10_1_E_mg","G10_1_E","G10","1","E","mg",46
"G10_1_E_mt","G10_1_E","G10","1","E","mt",24
"G10_1_F_mg","G10_1_F","G10","1","F","mg",40
"G10_1_F_mt","G10_1_F","G10","1","F","mt",13.8
"G10_2_A_mg","G10_2_A","G10","2","A","mg",42
"G10_2_A_mt","G10_2_A","G10","2","A","mt",44
"G10_2_B_mg","G10_2_B","G10","2","B","mg",56
"G10_2_B_mt","G10_2_B","G10","2","B","mt",38
"G10_2_C_mg","G10_2_C","G10","2","C","mg",50
"G10_2_C_mt","G10_2_C","G10","2","C","mt",46
"G10_2_D_mg","G10_2_D","G10","2","D","mg",42
"G10_2_D_mt","G10_2_D","G10","2","D","mt",50
"G10_2_E_mg","G10_2_E","G10","2","E","mg",38
"G10_2_E_mt","G10_2_E","G10","2","E","mt",46
"G10_2_F_mg","G10_2_F","G10","2","F","mg",48
"G10_2_F_mt","G10_2_F","G10","2","F","mt",46
"G10_3_A_mg","G10_3_A","G10","3","A","mg",42
"G10_3_A_mt","G10_3_A","G10","3","A","mt",36
"G10_3_B_mg","G10_3_B","G10","3","B","mg",40
"G10_3_B_mt","G10_3_B","G10","3","B","mt",46
"G10_3_C_mg","G10_3_C","G10","3","C","mg",58
"G10_3_C_mt","G10_3_C","G10","3","C","mt",36
"G10_3_D_mg","G10_3_D","G10","3","D","mg",56
"G10_3_D_mt","G10_3_D","G10","3","D","mt",36
"G10_3_E_mg","G10_3_E","G10","3","E","mg",38
"G10_3_E_mt","G10_3_E","G10","3","E","mt",19
"G10_3_F_mg","G10_3_F","G10","3","F","mg",58
"G10_3_F_mt","G10_3_F","G10","3","F","mt",15
"G10_4_A_mg","G10_4_A","G10","4","A","mg",36
"G10_4_A_mt","G10_4_A","G10","4","A","mt",15.8
"G10_4_B_mg","G10_4_B","G10","4","B","mg",32
"G10_4_B_mt","G10_4_B","G10","4","B","mt",17.8
"G10_4_C_mg","G10_4_C","G10","4","C","mg",52
"G10_4_C_mt","G10_4_C","G10","4","C","mt",12.8
"G10_4_D_mg","G10_4_D","G10","4","D","mg",48
"G10_4_D_mt","G10_4_D","G10","4","D","mt",30
"G10_4_E_mg","G10_4_E","G10","4","E","mg",42
"G10_4_E_mt","G10_4_E","G10","4","E","mt",15.4
"G10_4_F_mg","G10_4_F","G10","4","F","mg",38
"G10_4_F_mt","G10_4_F","G10","4","F","mt",22
