"variable","G05_1_E_cluster_DBSCAN_round3_4","G05_2_B_cluster_DBSCAN_round2_17","G05_2_C_cluster_DBSCAN_round3_1","G05_3_E_cluster_DBSCAN_round7_3","G05_5_C_cluster_DBSCAN_round2_2","G05_6_E_cluster_DBSCAN_round5_10","G05_6_E_cluster_DBSCAN_round6_6","G05_6_E_cluster_DBSCAN_round7_6","G05_7_A_cluster_DBSCAN_round8_2","G05_7_C_cluster_DBSCAN_round4_18","G10_2_C_cluster_DBSCAN_round1_10","G10_3_A_cluster_DBSCAN_round5_0","G10_3_D_cluster_DBSCAN_round210_2","G10_6_B_cluster_DBSCAN_round179_0","G10_6_E_cluster_DBSCAN_round5_1","G10_7_A_cluster_DBSCAN_round160_0","G10_7_C_cluster_DBSCAN_round1_6","G10_7_C_cluster_DBSCAN_round7_14","G10_7_C_cluster_DBSCAN_round7_2","G10_7_E_cluster_DBSCAN_round81_0","MES_1_D_cluster_DBSCAN_round2_17","MES_1_E_cluster_DBSCAN_round6_3","MES_2_C_cluster_DBSCAN_round3_1","MES_5_C_cluster_DBSCAN_round8_4","MES_7_C_cluster_DBSCAN_round4_2","MES_7_D_cluster_DBSCAN_round362_17","MES_7_E_cluster_DBSCAN_round2_10","pH10_1_E_cluster_DBSCAN_round1_4","pH10_1_E_cluster_DBSCAN_round2_19","pH10_1_E_cluster_DBSCAN_round2_2","pH10_2_A_cluster_DBSCAN_round2_4","pH10_2_A_cluster_DBSCAN_round6_5","pH10_4_D_cluster_DBSCAN_round1_1","pH10_6_A_cluster_DBSCAN_round525_32","pH10_6_C_cluster_DBSCAN_round2_10","pH10_6_E_cluster_DBSCAN_round5_14","pH10_7_A_cluster_DBSCAN_round2_25","pH10_7_B_cluster_DBSCAN_round161_0","pH10_7_C_cluster_DBSCAN_round5_6","pH10_7_C_cluster_DBSCAN_round7_1","pH10_7_C_cluster_DBSCAN_round7_4","pH10_7_E_cluster_DBSCAN_round3_20","pH10_7_F_cluster_DBSCAN_round4_20","pH10_7_F_cluster_DBSCAN_round5_0","pH6_1_A_cluster_DBSCAN_round1_4","pH6_1_D_cluster_DBSCAN_round2_7","pH6_2_E_cluster_DBSCAN_round5_7","pH6_4_F_cluster_DBSCAN_round203_0","pH6_6_D_cluster_DBSCAN_round9_1","pH8_2_E_cluster_DBSCAN_round1_4","pH8_6_D_cluster_DBSCAN_round6_12","pH8_7_C_cluster_DBSCAN_round6_1","pH8_7_D_cluster_DBSCAN_round9_5","pH8_7_F_cluster_DBSCAN_round202_0"
"G05_1_A",48769,39803,470442,2014853,208488,13337,19061,45426,9503,16123,297145,487437,59950,130463,19483,19023,215349,11926,20173,162795,101042,122771,81768,34666,154325,149826,6049,630709,80158,31957,133603,34824,56411,7470,243320,638190,5163,8235,7384,4183,21642,10797,3210,17730,69807,14729,3729029,17096,470126,161147,32517,2832,30459,4554
"G05_1_B",152673,125675,1134574,2335763,425126,13826,16511,75025,12786,22630,570516,473698,101399,180624,27398,25525,317264,18248,29347,251383,71023,221560,148959,141433,149303,210887,7399,2668562,98450,92290,297697,43157,80666,9851,522732,809485,6889,12421,6054,5581,11602,8695,5223,50019,84540,35636,5283376,23571,1182310,675580,59716,2811,44014,6449
"G05_1_C",57794,84806,573437,1377333,217395,11804,25571,42543,8880,17363,591796,372822,53711,145566,18800,19707,301167,10895,18652,141001,164915,121175,82492,49882,120759,109352,6599,919867,87309,89631,240237,42881,36178,7066,376972,455265,4656,8030,8526,4123,11430,9069,3358,38347,41242,20002,3354814,21800,782164,321065,44055,3551,45332,4428
"G05_1_D",85749,71616,600755,1751505,271096,9798,17816,43636,8368,16138,419977,320684,60266,118099,24850,19676,186709,12086,20349,154544,99841,166029,92195,93022,102230,134730,5749,1548765,79004,78498,187957,30727,76254,6834,377930,538678,4878,11436,5559,5345,13018,7667,3453,40033,56344,27704,3685908,15253,840711,385980,46227,2519,30719,6330
"G05_1_E",121721,81738,367328,1812579,365400,17547,23697,58604,6444,11897,186538,381491,36177,93755,29246,15344,160491,9595,17905,163158,31173,71838,49664,15665,125823,124231,4335,205176,59984,39306,104937,31044,71906,6537,159185,438715,4517,8614,10269,4509,17103,10461,2784,29159,136664,44497,3050702,11189,562211,90218,45770,6242,33807,6218
"G05_1_F",72828,73283,597597,1234716,192980,7894,8561,31861,6480,12328,108361,297265,114971,136802,18058,14233,138314,10305,16113,209663,21724,49341,52621,225415,92957,218812,5626,6115650,71633,47103,132901,28035,66851,5180,139414,508050,4105,6759,4051,3302,8728,5714,3268,41901,54920,24003,2187619,15767,859400,299696,21211,1846,29160,3825
"G05_2_A",88055,35014,327075,2077729,365783,14274,11878,45598,9561,17013,373315,376895,73470,129774,16768,21895,129110,13406,20571,245708,61816,150891,86013,25822,121900,202876,4379,501389,56015,18651,62838,24297,44177,8084,345835,749734,5995,6063,5638,3039,15378,8420,3685,13979,100253,28380,5123308,13158,401071,110891,49040,2260,18699,3273
"G05_2_B",70226,26588,243526,1213251,180079,7106,4060,30554,6244,11985,225072,303593,99211,160544,6841,13975,96908,9935,14017,329738,29997,98493,73266,34034,97768,254370,2384,588164,29644,16878,71326,14194,17601,4779,228166,432292,4108,3126,2340,1590,4068,3253,2665,11067,55370,15696,3631972,16949,216984,145606,26213,821,10373,1654
"G05_2_C",50476,53047,330946,1876496,235566,12029,16316,47467,9697,17889,447310,423884,61861,127185,13844,22393,174035,12166,22410,162463,134268,145421,97410,35743,134573,141971,4318,659246,54474,45467,139072,27688,32353,7694,320829,586490,5427,5733,6429,3085,10415,7167,3610,22148,46119,17927,4380696,16791,507800,184690,38892,2416,27558,3263
"G05_2_E",14718,1115121,848820,396513,154802,20713,42695,54460,7421,7872,13776,159191,28379,120262,49547,7083,241731,5571,15852,240187,23347,12811,17560,25753,51644,180861,10304,877963,156647,121722,69992,53005,68866,3922,27654,153137,3260,6939,7685,4059,13272,9943,2360,57516,41352,9581,481045,12587,1308668,501811,10217,3943,58612,3592
"G05_2_F",71083,53532,280951,1364766,309148,8098,5064,43907,6303,14587,151170,330065,108258,193399,11593,15429,90192,10330,16492,317481,21004,87555,63617,146098,109829,329677,2875,2741258,33138,21698,59059,16020,49696,5372,275315,458705,4331,3683,3233,2045,5277,3980,2657,24490,64549,25878,3274803,20814,533963,388614,32203,1029,13732,2399
"G05_3_A",130226,81183,453923,2236782,2091302,17486,13660,103050,10863,25808,310806,476000,134845,330672,25003,26365,106195,14739,25220,629442,32158,164192,94357,109142,154156,642603,5543,1878568,52542,17811,46120,22715,77974,10361,543020,916418,6758,6581,6655,3286,11086,7877,4122,15797,133662,77699,4935653,29396,548252,2009129,88598,2134,22639,4083
"G05_3_B",59010,50451,390273,1064732,647101,7069,5175,60222,5897,17058,123472,303548,117245,310992,14285,15031,85223,8646,13672,417203,16440,72659,75394,181519,100530,409288,3763,2688606,29575,19155,48880,13816,51416,5250,267350,527526,3591,4615,2583,1972,4927,3299,2671,12172,57685,33127,2734518,37088,383635,3229804,32101,952,13493,2666
