"bin","variable","value","counts","percent","cluster_total","superkingdom","phylum","class","order","family","genus","species","cluster_ph6","Treatment","Day","Replicate"
"G05_1_E_cluster_DBSCAN_round3_4","G05_1_A",827448,23660169,3.49721931402941,1,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus saccharolyticus",2,"G05","1","A"
"G05_1_E_cluster_DBSCAN_round3_4","MES_2_B",227137,26135570,0.869072302612876,1,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus saccharolyticus",2,"MES","2","B"
"G05_1_E_cluster_DBSCAN_round3_4","pH6_4_E",16796,45827308,0.0366506363411091,1,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus saccharolyticus",2,"pH6","4","E"
"G05_1_E_cluster_DBSCAN_round3_4","pH8_7_F",2219,35500435,0.00625062763315435,1,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus saccharolyticus",2,"pH8","7","F"
"G05_1_E_cluster_DBSCAN_round3_4","pH10_2_A",50949,36274666,0.140453395215272,1,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus saccharolyticus",2,"pH10","2","A"
"G05_1_E_cluster_DBSCAN_round3_4","G10_3_E",344862,26690648,1.29207054096251,1,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus saccharolyticus",2,"G10","3","E"
"G05_1_E_cluster_DBSCAN_round3_4","G10_2_B",1121875,55190001,2.03275046144681,1,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus saccharolyticus",2,"G10","2","B"
"G05_1_E_cluster_DBSCAN_round3_4","G10_3_B",2805927,64139052,4.37475595991035,1,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus saccharolyticus",2,"G10","3","B"
"G05_1_E_cluster_DBSCAN_round3_4","pH10_7_F",1919,32947566,0.00582440596674122,1,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus saccharolyticus",2,"pH10","7","F"
"G05_1_E_cluster_DBSCAN_round3_4","G10_1_E",1420244,34057260,4.17016518651236,1,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus saccharolyticus",2,"G10","1","E"
"G05_1_E_cluster_DBSCAN_round3_4","G10_1_B",2676972,53678306,4.98706497928605,1,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus saccharolyticus",2,"G10","1","B"
"G05_1_E_cluster_DBSCAN_round3_4","G05_4_B",75428,25933279,0.290854079809962,1,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus saccharolyticus",2,"G05","4","B"
"G05_1_E_cluster_DBSCAN_round3_4","G05_4_C",268046,27617201,0.970576272374597,1,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus saccharolyticus",2,"G05","4","C"
"G05_1_E_cluster_DBSCAN_round3_4","G05_4_D",63286,42596368,0.148571352374456,1,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus saccharolyticus",2,"G05","4","D"
"G05_1_E_cluster_DBSCAN_round3_4","G10_4_F",216530,32664441,0.662892103373206,1,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus saccharolyticus",2,"G10","4","F"
"G05_1_E_cluster_DBSCAN_round3_4","pH6_1_A",420256,21618969,1.9439224877005,1,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus saccharolyticus",2,"pH6","1","A"
