Treatment,Replicate,Day,pH
innoc,A,0,8.18
innoc,A,0,8.18
innoc,A,0,8.28
innoc,B,0,7.68
innoc,B,0,7.7
innoc,B,0,7.78
innoc,C,0,8
innoc,C,0,8
innoc,C,0,7.96
innoc,D,0,7.87
innoc,D,0,7.82
innoc,D,0,7.84
innoc,E,0,8.5
innoc,E,0,8.56
innoc,E,0,8.5
innoc,F,0,7.71
innoc,F,0,7.75
innoc,F,0,7.71
pH6,A,1,7.06
pH6,B,1,7.4
pH6,C,1,7.42
pH6,D,1,6.98
pH6,E,1,7.1
pH6,F,1,6.65
pH6,X,1,5.98
MES,A,1,5.58
MES,B,1,5.63
MES,C,1,5.39
MES,D,1,5.66
MES,E,1,5.77
MES,F,1,5.75
MES,X,1,5.28
G05,A,1,NA
G05,B,1,5.52
G05,C,1,5.05
G05,D,1,5.47
G05,E,1,6.4
G05,F,1,6.21
G05,X,1,5.95
G10,A,1,5.25
G10,B,1,5.15
G10,C,1,5.08
G10,D,1,5.08
G10,E,1,5.089
G10,F,1,5.03
G10,X,1,6.12
pH8,A,1,7.95
pH8,B,1,8.3
pH8,C,1,8.18
pH8,D,1,7.33
pH8,E,1,7.62
pH8,F,1,6.95
pH8,X,1,7.75
pH10,A,1,8.48
pH10,B,1,8.63
pH10,C,1,8.12
pH10,D,1,7.56
pH10,E,1,8.32
pH10,F,1,7.36
pH10,X,1,9.44
pH6,A,2,7.68
pH6,B,2,7.62
pH6,C,2,7.69
pH6,D,2,7.62
pH6,E,2,7.5
pH6,F,2,7.53
pH6,X,2,5.97
MES,A,2,5.87
MES,B,2,5.9
MES,C,2,5.81
MES,D,2,5.89
MES,E,2,6.01
MES,F,2,5.94
MES,X,2,5.29
G05,A,2,6.19
G05,B,2,6.07
G05,C,2,5.3
G05,D,2,6.58
G05,E,2,7.66
G05,F,2,6.95
G05,X,2,5.95
G10,A,2,4.9
G10,B,2,5.03
G10,C,2,4.8
G10,D,2,4.96
G10,E,2,6.32
G10,F,2,5.89
G10,X,2,5.98
pH8,A,2,8.58
pH8,B,2,8.28
pH8,C,2,8.33
pH8,D,2,8.11
pH8,E,2,8.02
pH8,F,2,8.14
pH8,X,2,7.11
pH10,A,2,7.89
pH10,B,2,8.9
pH10,C,2,8.67
pH10,D,2,8.47
pH10,E,2,8.49
pH10,F,2,8.38
pH10,X,2,9.08
pH6,A,3,8.45
pH6,B,3,8.58
pH6,C,3,8.02
pH6,D,3,7.92
pH6,E,3,7.86
pH6,F,3,7.95
pH6,X,3,5.96
MES,A,3,6.18
MES,B,3,6.14
MES,C,3,5.87
MES,D,3,6.22
MES,E,3,6.24
MES,F,3,6.24
MES,X,3,5.28
G05,A,3,7.53
G05,B,3,7.56
G05,C,3,6.32
G05,D,3,7.78
G05,E,3,7.94
G05,F,3,8.42
G05,X,3,6.08
G10,A,3,6
G10,B,3,6.03
G10,C,3,4.94
G10,D,3,5.88
G10,E,3,7.26
G10,F,3,8.21
G10,X,3,6.08
pH8,A,3,8.85
pH8,B,3,9.12
pH8,C,3,8.99
pH8,D,3,8.06
pH8,E,3,8.24
pH8,F,3,8.53
pH8,X,3,7.14
pH10,A,3,9.22
pH10,B,3,9.28
pH10,C,3,8.8
pH10,D,3,8.32
pH10,E,3,8.56
pH10,F,3,8.3
pH10,X,3,8.88
pH6,A,4,8.81
pH6,B,4,8.66
pH6,C,4,8.25
pH6,D,4,8.24
pH6,E,4,8.37
pH6,F,4,8.24
pH6,X,4,5.72
MES,A,4,6.06
MES,B,4,6.14
MES,C,4,6
MES,D,4,6.4
MES,E,4,6.3
MES,F,4,6.28
MES,X,4,5.22
G05,A,4,8.2
G05,B,4,8
G05,C,4,7.55
G05,D,4,8
G05,E,4,8.22
G05,F,4,8.6
G05,X,4,6
G10,A,4,6.7
G10,B,4,6.3
G10,C,4,5.32
G10,D,4,6.56
G10,E,4,7.6
G10,F,4,6.88
G10,X,4,5.8
pH8,A,4,8.85
pH8,B,4,8.9
pH8,C,4,8.9
pH8,D,4,8.7
pH8,E,4,8.76
pH8,F,4,8.65
pH8,X,4,7.25
pH10,A,4,9
pH10,B,4,9.05
pH10,C,4,9
pH10,D,4,8.9
pH10,E,4,8.9
pH10,F,4,8.87
pH10,X,4,8.87
pH6,A,5,8.5
pH6,B,5,8.34
pH6,C,5,8.51
pH6,D,5,8.308
pH6,E,5,8.54
pH6,F,5,8.38
pH6,X,5,5.61
MES,A,5,6.05
MES,B,5,5.92
MES,C,5,6.06
MES,D,5,5.95
