"Treatment","Day","Replicate","percent"
"pH6",1,"A",1.46664255427358
"pH6",1,"B",1.15061688734051
"pH6",1,"C",0.882808602768979
"pH6",1,"D",1.11343829406368
"pH6",1,"E",1.04624136863762
"pH6",1,"F",1.30000410925452
"pH6",2,"A",1.5426976179796
"pH6",2,"B",1.53595012563631
"pH6",2,"C",1.16166153596574
"pH6",2,"D",1.10216526224928
"pH6",2,"E",0.65309612061287
"pH6",2,"F",0.884728579810449
"pH6",3,"A",0.92994286241699
"pH6",3,"B",0.538073800290028
"pH6",3,"C",0.864057693046287
"pH6",3,"D",0.843769594390983
"pH6",3,"E",1.13852776117166
"pH6",3,"F",1.06254851087411
"pH6",4,"B",0.338303531757568
"pH6",4,"C",0.429600147096461
"pH6",4,"E",1.03981234025526
"pH6",4,"F",0.333623902212866
"pH6",5,"A",1.01021712721148
"pH6",5,"B",0.295999146938764
"pH6",5,"C",0.195692234529659
"pH6",5,"D",0.525166769988685
"pH6",5,"E",0.352019901428067
"pH6",5,"F",0.549581837133184
"pH6",6,"A",0.37678784369786
"pH6",6,"B",0.429575684493212
"pH6",6,"C",0.484544069991449
"pH6",6,"D",0.452516951904585
"pH6",6,"E",0.548330331597995
"pH6",6,"F",0.604929153692247
"pH6",7,"A",0.209921876329933
"pH6",7,"B",0.244180092955942
"pH6",7,"C",0.223286484187005
"pH6",7,"D",0.169959836797499
"pH6",7,"F",0.252812681936663
"pH8",1,"B",1.23752277892058
"pH8",1,"C",0.901572721106438
"pH8",1,"D",1.14288677593947
"pH8",1,"E",1.1415388156455
"pH8",1,"F",1.35357327721577
"pH8",2,"A",2.19778128934712
"pH8",2,"B",2.07270829837145
"pH8",2,"C",1.20081420327431
"pH8",2,"D",0.801171062941638
"pH8",2,"E",0.711509551384277
"pH8",2,"F",0.916476741434121
"pH8",3,"A",0.681626022740853
"pH8",3,"D",1.4910156856272
"pH8",3,"E",1.32260484279165
"pH8",3,"F",1.25181911643108
"pH8",4,"B",0.346821150228889
"pH8",4,"C",0.400696830109952
"pH8",4,"E",0.428691663688691
"pH8",4,"F",0.298128211494351
"pH8",5,"A",1.04792100408471
"pH8",5,"B",0.549727468605021
"pH8",5,"C",0.523874828370817
"pH8",5,"D",0.441357600416787
"pH8",5,"E",1.60329785723638
"pH8",5,"F",1.13070012948247
"pH8",6,"A",0.955075088329964
"pH8",6,"B",0.483850715270694
"pH8",6,"C",0.284616452650499
"pH8",6,"D",0.295815478619778
"pH8",6,"E",0.448216160891581
"pH8",6,"F",0.271584697901471
"pH8",7,"A",0.424737580880893
"pH8",7,"B",0.169440950486472
"pH8",7,"C",0.278416110702868
"pH8",7,"D",0.227291809626808
"pH8",7,"F",0.217721276441308
"pH10",1,"A",0.655866031461032
"pH10",1,"C",0.829567688210002
"pH10",1,"D",0.874541213445571
"pH10",1,"E",0.732274081378878
"pH10",1,"F",0.782405348430056
"pH10",2,"A",0.615644531626133
"pH10",2,"B",0.591885508939141
"pH10",2,"C",0.841115900707141
"pH10",2,"D",0.669495847048991
"pH10",2,"E",0.501891059133654
"pH10",2,"F",0.603655031515539
"pH10",3,"C",0.384884204897206
"pH10",3,"F",0.683764960354242
"pH10",4,"F",0.455525301486679
"pH10",5,"A",1.24131249876788
"pH10",5,"B",0.880907158933848
"pH10",5,"C",0.747869743411855
"pH10",5,"D",0.313340338826104
