JGI_filename,Filename,Treatment,Day,Replicate,JGI_genome_portal,Dataset,order,variable
pH6ome_63_FD.fastq.gz,pH6_1_A_mt.fastq.gz,pH6,1,A,3300046639,Metatranscriptomic,1,pH6_1_A_mt
pH6ome_64_FD.fastq.gz,pH6_1_B_mt.fastq.gz,pH6,1,B,3300046682,Metatranscriptomic,2,pH6_1_B_mt
pH6ome_65_FD.fastq.gz,pH6_1_C_mt.fastq.gz,pH6,1,C,3300046540,Metatranscriptomic,3,pH6_1_C_mt
pH6ome_66_FD.fastq.gz,pH6_1_D_mt.fastq.gz,pH6,1,D,3300046640,Metatranscriptomic,4,pH6_1_D_mt
pH6ome_73_FD.fastq.gz,pH6_1_E_mt.fastq.gz,pH6,1,E,3300046644,Metatranscriptomic,5,pH6_1_E_mt
pH6ome_74_FD.fastq.gz,pH6_1_F_mt.fastq.gz,pH6,1,F,3300047613,Metatranscriptomic,6,pH6_1_F_mt
MESome_70_FD.fastq.gz,MES_1_C_mt.fastq.gz,MES,1,C,3300046649,Metatranscriptomic,7,MES_1_C_mt
MESome_71_FD.fastq.gz,MES_1_E_mt.fastq.gz,MES,1,E,3300046541,Metatranscriptomic,8,MES_1_E_mt
G05ome_68_FD.fastq.gz,G05_1_A_mt.fastq.gz,G05,1,A,3300046650,Metatranscriptomic,9,G05_1_A_mt
G05ome_69_FD.fastq.gz,G05_1_B_mt.fastq.gz,G05,1,B,3300046553,Metatranscriptomic,10,G05_1_B_mt
G05ome_70_FD.fastq.gz,G05_1_C_mt.fastq.gz,G05,1,C,3300046544,Metatranscriptomic,11,G05_1_C_mt
G05ome_71_FD.fastq.gz,G05_1_D_mt.fastq.gz,G05,1,D,3300048600,Metatranscriptomic,12,G05_1_D_mt
G05ome_72_FD.fastq.gz,G05_1_E_mt.fastq.gz,G05,1,E,3300048601,Metatranscriptomic,13,G05_1_E_mt
G05ome_73_FD.fastq.gz,G05_1_F_mt.fastq.gz,G05,1,F,3300048602,Metatranscriptomic,14,G05_1_F_mt
G10ome_76_FD.fastq.gz,G10_1_A_mt.fastq.gz,G10,1,A,3300048603,Metatranscriptomic,15,G10_1_A_mt
G10ome_77_FD.fastq.gz,G10_1_B_mt.fastq.gz,G10,1,B,3300048604,Metatranscriptomic,16,G10_1_B_mt
G10ome_78_FD.fastq.gz,G10_1_C_mt.fastq.gz,G10,1,C,3300048605,Metatranscriptomic,17,G10_1_C_mt
G10ome_79_FD.fastq.gz,G10_1_D_mt.fastq.gz,G10,1,D,3300046545,Metatranscriptomic,18,G10_1_D_mt
G10ome_80_FD.fastq.gz,G10_1_E_mt.fastq.gz,G10,1,E,3300046546,Metatranscriptomic,19,G10_1_E_mt
G10ome_81_FD.fastq.gz,G10_1_F_mt.fastq.gz,G10,1,F,3300046651,Metatranscriptomic,20,G10_1_F_mt
pH8ome_73_FD.fastq.gz,pH8_1_B_mt.fastq.gz,pH8,1,B,3300046547,Metatranscriptomic,21,pH8_1_B_mt
pH8ome_74_FD.fastq.gz,pH8_1_C_mt.fastq.gz,pH8,1,C,3300046548,Metatranscriptomic,22,pH8_1_C_mt
pH8ome_75_FD.fastq.gz,pH8_1_D_mt.fastq.gz,pH8,1,D,3300046549,Metatranscriptomic,23,pH8_1_D_mt
pH8ome_76_FD.fastq.gz,pH8_1_E_mt.fastq.gz,pH8,1,E,3300046550,Metatranscriptomic,24,pH8_1_E_mt
pH8ome_77_FD.fastq.gz,pH8_1_F_mt.fastq.gz,pH8,1,F,3300046551,Metatranscriptomic,25,pH8_1_F_mt
pH1ome_68_FD.fastq.gz,pH10_1_A_mt.fastq.gz,pH10,1,A,3300046202,Metatranscriptomic,26,pH10_1_A_mt
pH1ome_69_FD.fastq.gz,pH10_1_C_mt.fastq.gz,pH10,1,C,3300046203,Metatranscriptomic,27,pH10_1_C_mt
pH1ome_70_FD.fastq.gz,pH10_1_D_mt.fastq.gz,pH10,1,D,3300046204,Metatranscriptomic,28,pH10_1_D_mt
pH1ome_71_FD.fastq.gz,pH10_1_E_mt.fastq.gz,pH10,1,E,3300046205,Metatranscriptomic,29,pH10_1_E_mt
pH1ome_72_FD.fastq.gz,pH10_1_F_mt.fastq.gz,pH10,1,F,3300046206,Metatranscriptomic,30,pH10_1_F_mt
pH6ome_77_FD.fastq.gz,pH6_2_A_mt.fastq.gz,pH6,2,A,3300046207,Metatranscriptomic,31,pH6_2_A_mt
pH6ome_78_FD.fastq.gz,pH6_2_B_mt.fastq.gz,pH6,2,B,3300046208,Metatranscriptomic,32,pH6_2_B_mt
pH6ome_79_FD.fastq.gz,pH6_2_C_mt.fastq.gz,pH6,2,C,3300046209,Metatranscriptomic,33,pH6_2_C_mt
