Bin Id	Marker lineage	# genomes	# markers	# marker sets	Completeness	Contamination	Strain heterogeneity	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	Translation table	# predicted genes	0	1	2	3	4	5+
pH10_1_A_cluster_DBSCAN_round1_11	o__Actinomycetales (UID1572)	580	286	171	97.47	0.00	0.00	2883517	0	51	51	86856	86856	56539	56539	218665	218665	68.5	1.13	92.18	11	2675	8	278	0	0	0	0
pH10_1_A_cluster_DBSCAN_round1_15	k__Bacteria (UID203)	5449	103	57	30.75	1.75	0.00	1524957	0	307	307	4991	4991	4967	4967	46865	46865	68.8	2.00	92.27	11	1645	72	29	2	0	0	0
pH10_1_A_cluster_DBSCAN_round1_19	k__Bacteria (UID203)	5449	104	58	27.35	0.00	0.00	1577395	0	329	329	4907	4907	4794	4794	13039	13039	66.9	1.57	91.21	11	1668	76	28	0	0	0	0
pH10_1_A_cluster_DBSCAN_round1_4	c__Alphaproteobacteria (UID3422)	26	529	308	100.00	0.32	0.00	3250991	0	12	12	424067	424067	270915	270915	663718	663718	67.6	0.75	90.64	11	3084	0	528	1	0	0	0
pH10_1_A_cluster_DBSCAN_round1_6	f__Moraxellaceae (UID4680)	86	689	365	99.04	1.38	11.11	4441883	0	51	51	154734	154734	87095	87095	553256	553256	37.8	1.89	84.96	11	4085	42	638	9	0	0	0
pH10_1_A_cluster_DBSCAN_round1_7	o__Actinomycetales (UID1572)	580	286	171	95.32	0.29	0.00	4331970	0	28	28	302132	302132	154713	154713	513244	513244	72.6	0.64	91.61	11	3911	10	275	1	0	0	0
pH10_1_A_cluster_DBSCAN_round1_8	f__Flavobacteriaceae (UID2817)	81	511	283	99.29	0.35	0.00	2945293	0	38	38	150455	150455	77507	77507	466355	466355	34.6	3.17	89.75	11	2724	2	508	1	0	0	0
pH10_1_A_cluster_DBSCAN_round2_0	c__Alphaproteobacteria (UID3305)	564	349	230	100.00	5.97	0.00	4826002	0	140	140	290228	290228	34471	34471	1398823	1398823	53.4	15.28	87.39	11	4393	0	331	18	0	0	0
pH10_1_A_cluster_DBSCAN_round2_1	c__Betaproteobacteria (UID3959)	235	419	211	100.00	0.05	0.00	4217195	0	9	9	658653	658653	468577	468577	942757	942757	56.7	0.71	89.73	11	3807	0	417	2	0	0	0
pH10_1_A_cluster_DBSCAN_round2_10	o__Actinomycetales (UID1809)	267	400	222	95.69	0.45	0.00	2765547	0	38	38	100030	100030	72777	72777	331741	331741	69.7	0.60	90.67	11	2506	18	381	1	0	0	0
pH10_1_A_cluster_DBSCAN_round2_11	k__Bacteria (UID203)	5449	104	58	58.62	0.00	0.00	5100707	0	69	69	106092	106092	73923	73923	328674	328674	67.8	0.99	91.42	11	4666	65	39	0	0	0	0
pH10_1_A_cluster_DBSCAN_round2_14	o__Actinomycetales (UID1572)	580	287	173	95.95	1.16	0.00	3505635	0	60	60	84748	84748	58427	58427	193025	193025	59.6	1.00	87.71	11	3042	20	265	2	0	0	0
pH10_1_A_cluster_DBSCAN_round2_146	o__Burkholderiales (UID4000)	193	427	214	2.34	0.00	0.00	44606	0	3	3	18492	18492	14868	14868	18685	18685	64.5	0.61	90.84	11	52	388	39	0	0	0	0
pH10_1_A_cluster_DBSCAN_round2_17	k__Bacteria (UID203)	5449	104	58	65.52	0.00	0.00	3164871	0	66	66	61041	61041	47952	47952	174274	174274	53.6	0.95	88.69	11	2978	60	44	0	0	0	0
pH10_1_A_cluster_DBSCAN_round2_20	c__Betaproteobacteria (UID3959)	235	419	211	73.37	0.00	0.00	2157003	0	66	66	43131	43131	32681	32681	128052	128052	61.9	0.89	91.61	11	2003	111	308	0	0	0	0
pH10_1_A_cluster_DBSCAN_round2_3	f__Enterobacteriaceae (UID5124)	134	1173	336	99.30	0.31	0.00	4716817	0	22	22	299411	299411	214400	214400	887481	887481	55.1	0.71	89.69	11	4388	7	1159	7	0	0	0
pH10_1_A_cluster_DBSCAN_round2_384	o__Actinomycetales (UID1572)	580	288	173	2.49	0.00	0.00	21835	0	4	4	5091	5091	5458	5458	8910	8910	68.3	1.41	94.34	11	29	259	29	0	0	0	0
pH10_1_A_cluster_DBSCAN_round2_4	p__Bacteroidetes (UID2605)	350	316	210	99.84	2.62	0.00	6367398	0	22	22	569471	569471	289427	289427	810514	810514	39.8	0.92	89.29	11	5410	1	308	7	0	0	0
pH10_1_A_cluster_DBSCAN_round2_5	k__Bacteria (UID1453)	901	171	117	63.82	0.00	0.00	814613	0	2	2	633434	633434	407306	407306	633434	633434	48.1	0.13	91.23	11	826	49	122	0	0	0	0
pH10_1_A_cluster_DBSCAN_round2_6	o__Actinomycetales (UID1809)	267	400	222	86.04	0.56	0.00	3025872	0	20	20	217230	217230	151293	151293	576865	576865	67.5	0.44	90.87	11	2780	52	346	2	0	0	0
pH10_1_A_cluster_DBSCAN_round2_7	p__Bacteroidetes (UID2605)	350	316	210	93.65	0.60	50.00	3931029	0	39	39	166305	166305	100795	100795	416791	416791	36.9	1.10	89.28	11	3394	16	298	2	0	0	0
pH10_1_A_cluster_DBSCAN_round2_8	o__Lactobacillales (UID544)	293	473	265	96.42	0.00	0.00	3325841	0	33	33	207448	207448	100783	100783	409427	409427	42.8	1.40	88.57	11	3046	41	432	0	0	0	0
pH10_1_A_cluster_DBSCAN_round3_13	o__Lactobacillales (UID544)	293	475	267	59.93	2.53	10.00	1834493	0	183	183	12075	12075	10024	10024	75810	75810	41.1	1.85	88.58	11	1905	201	266	7	1	0	0
pH10_1_A_cluster_DBSCAN_round3_99	k__Bacteria (UID203)	5449	104	58	33.93	0.00	0.00	1125764	0	186	186	6397	6397	6052	6052	15806	15806	36.1	1.28	90.18	11	1255	78	26	0	0	0	0
pH10_1_A_cluster_DBSCAN_round46_0	k__Bacteria (UID203)	5449	104	58	48.85	0.00	0.00	3660741	0	65	65	94933	94933	56319	56319	380065	380065	75.8	1.47	90.77	11	3270	70	34	0	0	0	0
pH10_1_A_cluster_DBSCAN_round47_0	k__Bacteria (UID203)	5449	104	58	46.55	1.72	100.00	2725093	0	28	28	96834	96834	97324	97324	203420	203420	76.4	0.56	91.43	11	2448	73	30	1	0	0	0
pH10_1_A_cluster_DBSCAN_round48_0	k__Bacteria (UID203)	5449	104	58	34.48	1.72	100.00	2911973	0	290	290	19750	19750	10041	10041	136175	136175	75.7	2.11	90.80	11	2914	82	21	1	0	0	0
pH10_1_A_cluster_DBSCAN_round4_3	p__Bacteroidetes (UID2605)	350	316	210	58.74	3.81	30.00	2900912	0	423	423	6808	6808	6857	6857	179615	179615	42.2	2.14	89.36	11	2860	153	153	10	0	0	0
