bin	classification	reason	lineage	lineage scores	superkingdom	phylum	class	order	family	genus	species
G05_1_E_cluster_DBSCAN_round3_4.fasta	taxid assigned	based on 2965/3045 ORFs	1;131567;2;1783272;1239;91061;186826;81852;1350;41997	1.00;1.00;0.99;0.95;0.94;0.92;0.88;0.86;0.83;0.56	Bacteria: 0.99	Firmicutes: 0.94	Bacilli: 0.92	Lactobacillales: 0.88	Enterococcaceae: 0.86	Enterococcus: 0.83	Enterococcus saccharolyticus: 0.56
G05_2_B_cluster_DBSCAN_round2_17.fasta	taxid assigned	based on 3447/3501 ORFs	1;131567;2;1783270;68336;976;117747;200666;84566;28453	1.00;1.00;1.00;0.99;0.99;0.99;0.98;0.98;0.98;0.96	Bacteria: 1.00	Bacteroidetes: 0.99	Sphingobacteriia: 0.98	Sphingobacteriales: 0.98	Sphingobacteriaceae: 0.98	Sphingobacterium: 0.96	no support
G05_2_C_cluster_DBSCAN_round3_1.fasta	taxid assigned	based on 3760/3785 ORFs	1;131567;2;1224;28216;80840;506;507	1.00;1.00;1.00;0.99;0.99;0.99;0.98;0.97	Bacteria: 1.00	Proteobacteria: 0.99	Betaproteobacteria: 0.99	Burkholderiales: 0.99	Alcaligenaceae: 0.98	Alcaligenes: 0.97	no support
G05_3_E_cluster_DBSCAN_round7_3.fasta	taxid assigned	based on 3001/3079 ORFs	1;131567;2;1783272;201174;1760;85007;1653;1716;1727	1.00;1.00;1.00;1.00;1.00;1.00;0.98;0.97;0.97;0.74	Bacteria: 1.00	Actinobacteria: 1.00	Actinobacteria: 1.00	Corynebacteriales: 0.98	Corynebacteriaceae: 0.97	Corynebacterium: 0.97	Corynebacterium variabile: 0.74
G05_5_C_cluster_DBSCAN_round2_2.fasta	taxid assigned	based on 3320/3338 ORFs	1;131567;2;1783272;1239;91061;186826;81852;1350	1.00;1.00;1.00;0.95;0.95;0.95;0.41;0.40;0.40	Bacteria: 1.00	Firmicutes: 0.95	Bacilli: 0.95	Lactobacillales: 0.41	Enterococcaceae: 0.40	Enterococcus: 0.40	no support
G05_6_E_cluster_DBSCAN_round5_10.fasta	taxid assigned	based on 3247/3337 ORFs	1;131567;2;1783272;201174;1760;85006;85019;1696;1033736	1.00;1.00;1.00;1.00;0.99;0.99;0.96;0.93;0.93;0.68	Bacteria: 1.00	Actinobacteria: 0.99	Actinobacteria: 0.99	Micrococcales: 0.96	Brevibacteriaceae: 0.93	Brevibacterium: 0.93	Brevibacterium senegalense: 0.68
G05_6_E_cluster_DBSCAN_round6_6.fasta	taxid assigned	based on 3733/3768 ORFs	1;131567;2;1224;28211;356;118882	1.00;1.00;1.00;0.99;0.99;0.99;0.93	Bacteria: 1.00	Proteobacteria: 0.99	Alphaproteobacteria: 0.99	Rhizobiales: 0.99	Brucellaceae: 0.93	no support	no support
G05_6_E_cluster_DBSCAN_round7_6.fasta	taxid assigned	based on 2848/3065 ORFs	1;131567;2;1783272;201174;1760;85006;577468;1465824;1465825*	1.00;1.00;1.00;0.98;0.97;0.96;0.80;0.36;0.36;0.36	Bacteria: 1.00	Actinobacteria: 0.97	Actinobacteria: 0.96	Micrococcales: 0.80	NA	Timonella: 0.36	Timonella senegalensis*: 0.36
G05_7_A_cluster_DBSCAN_round8_2.fasta	taxid assigned	based on 3023/3063 ORFs	1;131567;2;1783272;201174;1760;85006;85023;33882	1.00;1.00;1.00;0.98;0.87;0.85;0.82;0.79;0.75	Bacteria: 1.00	Actinobacteria: 0.87	Actinobacteria: 0.85	Micrococcales: 0.82	Microbacteriaceae: 0.79	Microbacterium: 0.75	no support
G05_7_C_cluster_DBSCAN_round4_18.fasta	taxid assigned	based on 3319/3433 ORFs	1;131567;2;1783272;201174;1760;85009;31957;72763	1.00;1.00;1.00;0.91;0.90;0.88;0.63;0.61;0.35	Bacteria: 1.00	Actinobacteria: 0.90	Actinobacteria: 0.88	Propionibacteriales: 0.63	Propionibacteriaceae: 0.61	Tessaracoccus: 0.35	no support
G10_2_C_cluster_DBSCAN_round1_10.fasta	taxid assigned	based on 1652/1679 ORFs	1;131567;2;1783272;1239;91061;186826;81850;46255	1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.98;0.98	Bacteria: 1.00	Firmicutes: 1.00	Bacilli: 1.00	Lactobacillales: 1.00	Leuconostocaceae: 0.98	Weissella: 0.98	no support
G10_3_A_cluster_DBSCAN_round5_0.fasta	taxid assigned	based on 3355/3418 ORFs	1;131567;2;1783272;201174;1760;85006;85020;43668	1.00;1.00;1.00;1.00;0.99;0.99;0.86;0.84;0.84	Bacteria: 1.00	Actinobacteria: 0.99	Actinobacteria: 0.99	Micrococcales: 0.86	Dermabacteraceae: 0.84	Brachybacterium: 0.84	no support
G10_3_D_cluster_DBSCAN_round210_2.fasta	taxid assigned	based on 3792/3949 ORFs	1;131567;2;1783272;201174;1760;85006	1.00;1.00;1.00;0.99;0.99;0.99;0.92	Bacteria: 1.00	Actinobacteria: 0.99	Actinobacteria: 0.99	Micrococcales: 0.92	no support	no support	no support
G10_6_B_cluster_DBSCAN_round179_0.fasta	taxid assigned	based on 4399/4452 ORFs	1;131567;2;1783272;201174;1760;85006;85016;1707;156981	1.00;1.00;1.00;1.00;0.99;0.99;0.98;0.67;0.67;0.60	Bacteria: 1.00	Actinobacteria: 0.99	Actinobacteria: 0.99	Micrococcales: 0.98	Cellulomonadaceae: 0.67	Cellulomonas: 0.67	Cellulomonas hominis: 0.60
G10_6_E_cluster_DBSCAN_round5_1.fasta	taxid assigned	based on 3762/3789 ORFs	1;131567;2;1224;28211;356;118882;528	1.00;1.00;1.00;1.00;0.97;0.96;0.93;0.74	Bacteria: 1.00	Proteobacteria: 1.00	Alphaproteobacteria: 0.97	Rhizobiales: 0.96	Brucellaceae: 0.93	Ochrobactrum: 0.74	no support
G10_7_A_cluster_DBSCAN_round160_0.fasta	taxid assigned	based on 3434/3463 ORFs	1;131567;2;1783272;201174;1760;85006;85023;55968;668625	1.00;1.00;1.00;0.99;0.99;0.99;0.97;0.96;0.94;0.74	Bacteria: 1.00	Actinobacteria: 0.99	Actinobacteria: 0.99	Micrococcales: 0.97	Microbacteriaceae: 0.96	Leucobacter: 0.94	Leucobacter celer: 0.74
