Bin Id	Marker lineage	# genomes	# markers	# marker sets	Completeness	Contamination	Strain heterogeneity	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	Translation table	# predicted genes	0	1	2	3	4	5+
G05_1_A_cluster_DBSCAN_round167_0	p__Bacteroidetes (UID2605)	350	316	210	27.14	0.00	0.00	1398756	0	3	3	810504	810504	466252	466252	810504	810504	39.6	0.11	89.93	11	1139	231	85	0	0	0	0
G05_1_A_cluster_DBSCAN_round169_0	p__Bacteroidetes (UID2605)	350	316	210	50.32	0.00	0.00	2743905	0	7	7	484168	484168	391986	391986	569471	569471	40.0	0.76	89.41	11	2239	144	172	0	0	0	0
G05_1_A_cluster_DBSCAN_round170_0	p__Bacteroidetes (UID2605)	350	316	210	26.49	2.17	0.00	1449290	0	229	229	5607	5607	6328	6328	226740	226740	43.3	6.22	87.77	11	1480	230	78	8	0	0	0
G05_1_A_cluster_DBSCAN_round171_10	k__Bacteria (UID203)	5449	104	58	39.11	5.17	50.00	1630503	0	217	217	8529	8529	7513	7513	21845	21845	74.9	1.47	90.83	11	1610	77	25	1	1	0	0
G05_1_A_cluster_DBSCAN_round1_2	c__Alphaproteobacteria (UID3422)	26	529	308	100.00	0.35	50.00	3251127	0	13	13	431034	431034	250086	250086	911800	911800	67.6	0.95	90.64	11	3085	0	527	2	0	0	0
G05_1_A_cluster_DBSCAN_round1_5	o__Burkholderiales (UID4000)	193	427	214	99.07	0.47	100.00	6197221	0	61	61	215051	215051	101593	101593	463294	463294	67.5	1.27	91.04	11	5685	4	421	2	0	0	0
G05_1_A_cluster_DBSCAN_round2_1	c__Alphaproteobacteria (UID3305)	564	349	230	93.30	77.75	11.50	15640091	0	991	991	42064	42064	15782	15782	1166160	1166160	62.4	10.30	88.38	11	14837	41	188	63	25	15	17
G05_1_A_cluster_DBSCAN_round2_11	o__Actinomycetales (UID1572)	580	286	171	98.64	0.00	0.00	2953070	0	53	53	104238	104238	55718	55718	238847	238847	68.5	1.39	92.05	11	2780	5	281	0	0	0	0
G05_1_A_cluster_DBSCAN_round2_13	p__Actinobacteria (UID1454)	732	206	120	88.89	0.00	0.00	3077026	0	63	63	66698	66698	48841	48841	196950	196950	72.4	1.01	91.03	11	2776	24	182	0	0	0	0
G05_1_A_cluster_DBSCAN_round2_18	o__Rhizobiales (UID3450)	238	513	244	84.31	1.37	57.14	3353093	0	377	377	10789	10789	8894	8894	40756	40756	66.6	2.73	90.14	11	3526	75	431	7	0	0	0
G05_1_A_cluster_DBSCAN_round2_6	o__Actinomycetales (UID1572)	580	286	171	97.57	5.85	9.09	4411787	0	39	39	172486	172486	113122	113122	416218	416218	69.0	0.98	91.25	11	4009	16	259	11	0	0	0
G05_1_A_cluster_DBSCAN_round2_8	f__Moraxellaceae (UID4680)	86	689	365	99.00	2.25	27.27	4591224	0	56	56	133181	133181	81986	81986	359260	359260	37.8	1.46	85.01	11	4212	42	636	11	0	0	0
G05_1_A_cluster_DBSCAN_round2_9	f__Flavobacteriaceae (UID2817)	81	511	283	99.29	0.35	0.00	2824031	0	54	54	99858	99858	52296	52296	344209	344209	34.6	2.23	89.91	11	2588	2	508	1	0	0	0
G05_1_A_cluster_DBSCAN_round3_10	p__Bacteroidetes (UID2605)	350	316	210	97.30	0.53	33.33	4261162	0	80	80	96936	96936	53264	53264	217774	217774	37.1	2.05	89.13	11	3710	31	282	3	0	0	0
G05_1_A_cluster_DBSCAN_round3_13	o__Actinomycetales (UID1572)	580	287	173	98.84	1.73	0.00	3394665	0	129	129	37267	37267	26315	26315	124396	124396	59.6	1.00	87.73	11	2981	2	283	1	1	0	0
G05_1_A_cluster_DBSCAN_round3_14	f__Micrococcaceae (UID1623)	39	457	218	85.80	6.12	91.30	3386425	0	286	286	16294	16294	11840	11840	109527	109527	66.6	1.25	90.74	11	3271	50	384	23	0	0	0
G05_1_A_cluster_DBSCAN_round3_17	k__Bacteria (UID203)	5449	104	58	51.72	0.00	0.00	1778650	0	290	290	6179	6179	6133	6133	61850	61850	32.6	1.58	88.13	11	1969	70	34	0	0	0	0
G05_1_A_cluster_DBSCAN_round3_21	c__Betaproteobacteria (UID3959)	235	419	211	75.83	0.47	100.00	3109281	0	454	454	7322	7322	6848	6848	50435	50435	60.7	2.83	91.09	11	3210	108	310	1	0	0	0
G05_1_A_cluster_DBSCAN_round3_3	o__Lactobacillales (UID544)	293	473	265	99.25	0.38	100.00	3504455	0	28	28	279822	279822	125159	125159	739359	739359	42.7	1.24	88.50	11	3184	2	468	3	0	0	0
G05_1_A_cluster_DBSCAN_round3_33	f__Enterobacteriaceae (UID5124)	134	1173	336	0.60	0.00	0.00	37344	0	4	4	26298	26298	9336	9336	26298	26298	50.4	0.94	90.41	11	58	1137	36	0	0	0	0
G05_1_A_cluster_DBSCAN_round3_39	k__Bacteria (UID203)	5449	104	58	37.93	1.72	0.00	2504169	0	474	474	5393	5393	5283	5283	18705	18705	57.6	1.55	89.66	11	2646	79	24	1	0	0	0
G05_1_A_cluster_DBSCAN_round3_4	o__Lactobacillales (UID375)	177	350	163	98.77	0.00	0.00	1799869	0	13	13	550357	550357	138451	138451	570659	570659	36.5	0.99	88.36	11	1711	2	348	0	0	0	0
G05_1_A_cluster_DBSCAN_round3_5	o__Lactobacillales (UID544)	293	475	267	71.04	2.84	0.00	2956248	0	17	17	281089	281089	173896	173896	536640	536640	42.6	1.06	87.38	11	2847	118	347	9	1	0	0
G05_1_A_cluster_DBSCAN_round3_67	c__Bacilli (UID285)	586	325	181	1.31	0.00	0.00	40143	0	8	8	4643	4643	5017	5017	7368	7368	37.1	0.94	95.56	11	49	298	27	0	0	0	0
G05_1_A_cluster_DBSCAN_round3_8	c__Bacilli (UID284)	725	279	151	98.34	0.00	0.00	3131238	0	34	34	126645	126645	92095	92095	341305	341305	35.7	1.30	89.40	11	3034	3	276	0	0	0	0
G05_1_A_cluster_DBSCAN_round4_1	c__Betaproteobacteria (UID3959)	235	419	211	100.00	0.05	0.00	4271199	0	13	13	553019	553019	328553	328553	944936	944936	56.9	0.77	89.76	11	3853	0	417	2	0	0	0
G05_1_A_cluster_DBSCAN_round4_2	f__Enterobacteriaceae (UID5124)	134	1173	336	98.70	1.06	10.00	4662849	0	20	20	398547	398547	233142	233142	887481	887481	55.1	0.94	89.68	11	4314	43	1120	10	0	0	0
G05_1_A_cluster_DBSCAN_round4_4	o__Actinomycetales (UID1809)	267	400	222	81.67	0.56	0.00	2883253	0	18	18	217228	217228	160180	160180	410047	410047	67.5	0.53	90.89	11	2643	74	324	2	0	0	0
G05_1_A_cluster_DBSCAN_round4_6	o__Actinomycetales (UID1572)	580	286	171	92.25	3.41	71.43	4474896	0	38	38	166489	166489	117760	117760	331058	331058	72.8	0.79	91.66	11	4075	42	237	7	0	0	0
G05_1_A_cluster_DBSCAN_round4_7	o__Actinomycetales (UID1809)	267	400	222	96.85	0.45	0.00	2857529	0	38	38	100030	100030	75198	75198	296504	296504	69.7	0.66	90.53	11	2593	11	388	1	0	0	0
G05_1_A_cluster_DBSCAN_round52_21	o__Actinomycetales (UID1572)	580	288	173	10.90	1.79	71.43	150115	0	31	31	5285	5285	4842	4842	6622	6622	73.2	2.29	89.04	11	158	231	50	7	0	0	0
G05_1_A_cluster_DBSCAN_round5_3	o__Lactobacillales (UID544)	293	475	267	85.21	4.62	0.00	3883150	0	43	43	164542	164542	90305	90305	271507	271507	39.2	0.79	87.02	11	3845	112	350	11	2	0	0
G05_1_A_cluster_DBSCAN_round5_99	o__Lactobacillales (UID544)	293	475	267	2.53	0.00	0.00	44775	0	2	2	24345	24345	22387	22387	24345	24345	40.1	0.05	89.23	11	45	436	39	0	0	0	0
G05_1_A_cluster_DBSCAN_round60_0	k__Bacteria (UID203)	5449	104	58	44.83	1.72	100.00	3061987	0	80	80	56896	56896	38274	38274	165216	165216	76.1	1.20	90.67	11	2781	75	27	2	0	0	0
