Bin Id	Marker lineage	# genomes	# markers	# marker sets	Completeness	Contamination	Strain heterogeneity	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	Translation table	# predicted genes	0	1	2	3	4	5+
MES_1_A_cluster_DBSCAN_round1_2	c__Alphaproteobacteria (UID3422)	26	529	308	100.00	0.32	0.00	3251927	0	8	8	626371	626371	406490	406490	1052537	1052537	67.6	0.77	90.63	11	3081	0	528	1	0	0	0
MES_1_A_cluster_DBSCAN_round1_7	f__Flavobacteriaceae (UID2817)	81	511	283	99.29	0.35	0.00	2899635	0	28	28	193396	193396	103558	103558	525730	525730	34.5	2.05	89.82	11	2655	2	508	1	0	0	0
MES_1_A_cluster_DBSCAN_round1_8	o__Burkholderiales (UID4000)	193	427	214	99.53	2.13	33.33	6965311	0	216	216	194597	194597	32246	32246	454396	454396	67.4	1.68	91.16	11	6482	1	420	6	0	0	0
MES_1_A_cluster_DBSCAN_round1_9	f__Moraxellaceae (UID4680)	86	689	365	99.29	2.13	27.27	4592381	0	46	46	154732	154732	99834	99834	425967	425967	37.8	1.87	85.06	11	4196	40	638	11	0	0	0
MES_1_A_cluster_DBSCAN_round2_1	c__Alphaproteobacteria (UID3305)	564	349	230	100.00	0.96	0.00	4123345	0	23	23	493570	493570	179275	179275	1194687	1194687	50.7	1.84	86.52	11	3691	0	346	3	0	0	0
MES_1_A_cluster_DBSCAN_round2_12	o__Actinomycetales (UID1572)	580	286	171	98.64	8.60	5.26	3529928	0	233	233	35924	35924	15149	15149	227056	227056	68.4	1.97	91.68	11	3452	5	262	19	0	0	0
MES_1_A_cluster_DBSCAN_round2_13	o__Actinomycetales (UID1572)	580	287	173	99.42	1.16	0.00	3494838	0	211	211	22741	22741	16563	16563	118042	118042	59.5	1.54	87.75	11	3105	1	284	2	0	0	0
MES_1_A_cluster_DBSCAN_round2_14	f__Micrococcaceae (UID1623)	39	457	218	90.31	8.03	93.94	4106119	0	388	388	15117	15117	10582	10582	109683	109683	66.2	1.98	90.27	11	3971	32	392	33	0	0	0
MES_1_A_cluster_DBSCAN_round2_6	o__Lactobacillales (UID375)	177	350	163	98.77	4.45	100.00	1813087	0	13	13	443211	443211	139468	139468	570659	570659	36.5	0.74	88.54	11	1728	2	337	11	0	0	0
MES_1_A_cluster_DBSCAN_round3_0	p__Bacteroidetes (UID2605)	350	316	210	99.83	80.70	2.11	17161952	0	1144	1144	50473	50473	15001	15001	1878062	1878062	55.1	13.95	89.70	11	16204	2	194	58	42	13	7
MES_1_A_cluster_DBSCAN_round3_11	o__Actinomycetales (UID1572)	580	286	171	95.91	2.05	0.00	4305784	0	41	41	186727	186727	105019	105019	290618	290618	68.9	0.79	91.36	11	3868	19	263	4	0	0	0
MES_1_A_cluster_DBSCAN_round3_13	p__Bacteroidetes (UID2605)	350	316	210	99.37	0.48	0.00	4362047	0	53	53	143458	143458	82302	82302	258598	258598	37.2	1.90	88.90	11	3791	2	313	1	0	0	0
